,v,vw,o,c,h,l,n,date
0,25740036.0,239.8394,243.08,239.58,245.75,237.4,314904,2023-01-03 05:00:00
1,50623394.0,228.5518,232.275,229.1,232.87,225.96,679231,2023-01-04 05:00:00
2,39577823.0,223.604,227.2,222.31,227.55,221.7602,471302,2023-01-05 05:00:00
3,43613574.0,223.3788,223.0,224.93,225.7601,219.35,495762,2023-01-06 05:00:00
4,27369784.0,228.5989,226.45,227.12,231.2366,226.41,363680,2023-01-09 05:00:00
5,27033881.0,228.7878,227.755,228.85,231.31,227.33,334659,2023-01-10 05:00:00
6,28633081.0,233.9843,231.29,235.77,235.95,231.11,340052,2023-01-11 05:00:00
7,27269486.0,237.813,235.26,238.51,239.9,233.56,400489,2023-01-12 05:00:00
8,21333265.0,237.4748,237.002,239.23,239.37,234.92,300118,2023-01-13 05:00:00
9,29831257.0,239.6706,237.97,240.35,240.91,237.09,370168,2023-01-17 05:00:00
10,30028692.0,237.875,241.565,235.81,242.38,235.52,377927,2023-01-18 05:00:00
11,28592433.0,232.5374,233.78,231.93,235.52,230.68,362262,2023-01-19 05:00:00
12,35249809.0,238.2032,234.855,240.22,240.74,234.51,364051,2023-01-20 05:00:00
13,31933951.0,242.7509,241.1,242.58,245.165,239.65,413335,2023-01-23 05:00:00
14,40218444.0,243.7867,242.5,242.04,243.95,240.44,512442,2023-01-24 05:00:00
15,66526641.0,237.4755,234.48,240.61,243.3,230.9,745426,2023-01-25 05:00:00
16,33454491.0,245.411,243.65,248.0,248.31,242.0,401891,2023-01-26 05:00:00
17,26498939.0,248.3935,248.99,248.16,249.83,246.83,336282,2023-01-27 05:00:00
18,25867365.0,243.2164,244.51,242.71,245.6,242.2,308895,2023-01-30 05:00:00
19,26541072.0,246.5374,243.45,247.81,247.95,242.945,256082,2023-01-31 05:00:00
20,31259912.0,250.3172,248.0,252.75,255.18,245.47,386960,2023-02-01 05:00:00
21,39931837.0,261.6241,258.82,264.6,264.69,257.25,533818,2023-02-02 05:00:00
22,29059256.0,259.9308,259.542,258.35,264.2,257.1,408058,2023-02-03 05:00:00
23,22517997.0,256.76,257.44,256.77,258.3,254.78,276674,2023-02-06 05:00:00
24,50841365.0,264.6898,260.53,267.56,268.775,260.08,618791,2023-02-07 05:00:00
25,54674349.0,270.3434,273.2,266.73,276.76,266.21,659530,2023-02-08 05:00:00
26,42375102.0,267.304,273.8,263.62,273.98,262.8,472027,2023-02-09 05:00:00
27,25808489.0,262.4025,261.53,263.1,264.09,260.662,334145,2023-02-10 05:00:00
28,44614921.0,271.4438,267.64,271.32,274.6,267.15,499425,2023-02-13 05:00:00
29,37047924.0,272.0367,272.67,272.17,274.97,269.28,471699,2023-02-14 05:00:00
30,28962163.0,268.4251,268.32,269.32,270.73,266.18,370701,2023-02-15 05:00:00
31,29529391.0,264.1021,264.02,262.15,266.74,261.9,389910,2023-02-16 05:00:00
32,29998205.0,257.6854,259.39,258.06,260.09,256.0,392723,2023-02-17 05:00:00
