open,high,low,close,volume,symbol
177.83,182.88,177.71,182.01,104701220,AAPL
182.63,182.94,179.12,179.7,99310438,AAPL
179.61,180.17,174.64,174.92,94537602,AAPL
172.7,175.3,171.64,172.0,96903955,AAPL
172.89,174.14,171.03,172.17,86709147,AAPL
169.08,172.5,168.17,172.19,106765552,AAPL
172.32,175.18,170.82,175.08,75937685,AAPL
176.12,177.18,174.82,175.53,74805173,AAPL
175.78,176.62,171.79,172.19,84505760,AAPL
171.34,173.78,171.09,173.07,80440780,AAPL
171.51,172.54,169.405,169.8,90500236,AAPL
170.0,171.08,165.94,166.23,92914792,AAPL
166.98,169.68,164.18,164.51,91420515,AAPL
164.415,166.33,162.3,162.41,122848858,AAPL
160.02,162.3,154.7,161.62,162706686,AAPL
158.98,162.76,157.02,159.78,115798367,AAPL
163.5,164.3894,157.82,159.69,108275308,AAPL
162.45,163.84,158.28,159.22,121954638,AAPL
165.71,170.35,162.8,170.33,179935660,AAPL
170.16,175.0,169.51,174.78,115541590,AAPL
174.01,174.84,172.31,174.61,86213911,AAPL
174.745,175.88,173.33,175.84,84914256,AAPL
174.48,176.2399,172.12,172.9,89418074,AAPL
171.68,174.1,170.68,172.39,82465400,AAPL
172.86,173.9458,170.95,171.66,77251204,AAPL
171.73,175.35,171.43,174.83,74829217,AAPL
176.05,176.65,174.9,176.28,71285038,AAPL
174.14,175.48,171.55,172.12,90865899,AAPL
172.33,173.08,168.04,168.64,98670687,AAPL
167.37,169.58,166.56,168.88,86185530,AAPL
170.97,172.95,170.25,172.79,64286320,AAPL
171.85,173.34,170.05,172.55,61177398,AAPL
171.03,171.91,168.47,168.88,69589344,AAPL
169.82,170.5413,166.19,167.3,82772674,AAPL
164.98,166.69,162.15,164.32,90457637,AAPL
165.54,166.15,159.75,160.07,90009247,AAPL
152.58,162.85,152.0,162.74,141147540,AAPL
163.84,165.12,160.8738,164.85,91974222,AAPL
163.06,165.42,162.43,165.12,95056629,AAPL
164.695,166.6,161.97,163.2,83474425,AAPL
164.39,167.36,162.95,166.56,79724750,AAPL
168.47,168.91,165.55,166.23,76678441,AAPL
164.49,165.55,162.1,163.17,83819592,AAPL
163.36,165.02,159.04,159.3,96418845,AAPL
158.82,162.88,155.8,157.44,131148280,AAPL
161.475,163.41,159.41,162.95,91454905,AAPL
160.2,160.39,155.98,158.52,105342033,AAPL
158.93,159.28,154.5,154.73,96970102,AAPL
151.45,154.12,150.1,150.62,108732111,AAPL
150.9,155.57,150.38,155.09,92964302,AAPL
157.05,160.0,154.46,159.59,102300157,AAPL
158.61,161.0,157.63,160.62,75615376,AAPL
160.51,164.48,159.76,163.98,122055535,AAPL
163.51,166.35,163.015,165.38,89029269,AAPL
165.51,169.42,164.91,168.82,80979755,AAPL
167.99,172.64,167.65,170.21,98062674,AAPL
171.06,174.14,170.21,174.07,90131418,AAPL
173.88,175.28,172.75,174.72,80281664,AAPL
172.17,175.73,172.0,175.6,90371916,AAPL
176.69,179.01,176.34,178.96,100589440,AAPL
178.55,179.61,176.7,177.77,92633154,AAPL
177.84,178.03,174.4,174.61,103049285,AAPL
174.03,174.88,171.94,174.31,78751328,AAPL
174.57,178.49,174.44,178.44,76545983,AAPL
177.5,178.3,174.415,175.06,70902999,AAPL
172.36,173.63,170.13,171.83,89058782,AAPL
171.16,173.36,169.85,172.14,77594650,AAPL
171.78,171.78,169.2,170.09,76575508,AAPL
168.71,169.03,165.5,165.75,72246706,AAPL
168.02,169.87,166.64,167.66,79265181,AAPL
167.39,171.04,166.77,170.4,70618925,AAPL
170.62,171.27,165.04,165.29,75329376,AAPL
163.92,166.5984,163.57,165.07,69023941,AAPL
165.02,167.82,163.91,167.4,67723833,AAPL
168.76,168.88,166.1,167.23,67718110,AAPL
168.91,171.53,165.91,166.42,87227768,AAPL
166.46,167.8699,161.5,161.79,84882424,AAPL
161.12,163.17,158.46,162.88,96046376,AAPL
162.25,162.34,156.72,156.8,94008394,AAPL
155.91,159.79,155.38,156.57,88063191,AAPL
159.25,164.515,158.93,163.64,130216792,AAPL
161.84,166.2,157.25,157.65,131747571,AAPL
156.71,158.23,153.27,157.96,123055265,AAPL
158.15,160.71,156.32,159.48,88966526,AAPL
159.67,166.48,159.26,166.02,107521649,AAPL
163.85,164.08,154.95,156.77,130525275,AAPL
156.01,159.44,154.18,157.28,116124647,AAPL
154.925,155.83,151.49,152.06,131577921,AAPL
155.52,156.74,152.93,154.51,115366736,AAPL
153.5,155.45,145.81,146.5,142689825,AAPL
142.77,146.2,138.8,142.56,182602041,AAPL
144.59,148.105,143.11,147.11,113990852,AAPL
145.55,147.5199,144.18,145.54,86643781,AAPL
148.86,149.77,146.68,149.24,78336254,AAPL
146.85,147.3601,139.9,140.82,109742890,AAPL
139.88,141.66,136.6,137.35,136095640,AAPL
139.09,140.7,132.61,137.59,137426125,AAPL
137.79,143.26,137.65,143.11,117726265,AAPL
140.805,141.97,137.33,140.36,104132746,AAPL
138.43,141.785,138.34,140.52,92482696,AAPL
137.39,144.34,137.14,143.78,90601548,AAPL
145.39,149.68,145.26,149.64,90978503,AAPL
149.07,150.66,146.84,148.84,103718416,AAPL
149.9,151.74,147.68,148.71,74286635,AAPL
147.83,151.27,146.86,151.21,72348055,AAPL
146.9,147.97,144.46,145.38,88570289,AAPL
147.03,148.5689,144.9,146.14,71598380,AAPL
144.345,149.0,144.1,148.71,67808150,AAPL
148.58,149.8697,147.46,147.96,53950201,AAPL
147.08,147.95,142.53,142.64,69472976,AAPL
140.28,140.76,137.06,137.13,91566637,AAPL
132.87,135.2,131.44,131.88,122207099,AAPL
133.13,133.89,131.48,132.76,84784326,AAPL
134.29,137.34,132.16,135.43,91532972,AAPL
132.08,132.39,129.04,130.06,107961508,AAPL
130.065,133.079,129.81,131.56,134520290,AAPL
133.42,137.06,133.32,135.87,81000488,AAPL
134.79,137.76,133.91,135.35,73409234,AAPL
136.82,138.59,135.63,138.27,72433768,AAPL
139.9,141.91,139.77,141.66,89116837,AAPL
142.695,143.49,140.965,141.66,70207908,AAPL
142.13,143.422,137.325,137.44,67315328,AAPL
137.46,140.67,136.67,139.23,66242411,AAPL
137.25,138.37,133.7737,136.72,98964467,AAPL
136.04,139.04,135.66,138.93,71051552,AAPL
137.77,141.61,136.93,141.56,73429641,AAPL
141.355,144.12,141.08,142.92,74064254,AAPL
143.29,146.55,143.28,146.35,66253709,AAPL
145.265,147.55,145.0,147.04,64547798,AAPL
145.67,146.64,143.78,144.87,63305113,AAPL
145.76,148.45,145.05,145.86,77588759,AAPL
142.99,146.45,142.1201,145.49,71185560,AAPL
144.08,148.95,143.25,148.47,78140744,AAPL
149.78,150.86,148.2,150.17,76259931,AAPL
150.74,151.57,146.7,147.07,81420868,AAPL
147.92,151.23,146.91,151.0,82982367,AAPL
151.12,153.72,150.37,153.04,64823413,AAPL
154.5,155.57,151.94,155.35,65086636,AAPL
155.39,156.28,153.41,154.09,66675408,AAPL
154.01,155.04,152.28,152.95,53623945,AAPL
152.265,153.085,150.8,151.6,55138691,AAPL
152.58,157.33,152.16,156.79,78620688,AAPL
156.98,157.64,154.41,157.35,81378731,AAPL
