open,high,low,close,volume,symbol
130.28,130.9,124.17,125.07,112117471,AAPL
126.89,128.6557,125.08,126.36,89113633,AAPL
127.13,127.77,124.76,125.02,80962708,AAPL
126.01,130.29,124.89,129.62,87754715,AAPL
130.465,133.41,129.89,130.15,70790813,AAPL
130.26,131.2636,128.12,130.73,63896155,AAPL
131.25,133.51,130.46,133.49,69458949,AAPL
133.88,134.26,131.44,133.41,71379648,AAPL
132.03,134.92,131.66,134.76,57809719,AAPL
134.83,137.29,134.13,135.94,63646627,AAPL
136.815,138.61,135.03,135.21,69672800,AAPL
134.08,136.25,133.77,135.27,58280413,AAPL
135.28,138.02,134.22,137.87,80223626,AAPL
138.12,143.315,137.9,141.11,81760313,AAPL
140.305,143.16,140.3,142.53,66435142,AAPL
140.89,142.43,138.81,141.86,65799349,AAPL
143.17,144.25,141.9,143.96,54105068,AAPL
143.155,147.23,143.08,145.93,70555843,AAPL
144.955,145.55,142.85,143.0,64015274,AAPL
142.7,144.34,142.28,144.29,65874459,AAPL
143.97,146.61,141.32,145.43,77663633,AAPL
148.9,151.18,148.17,150.82,118338980,AAPL
148.03,157.38,147.83,154.5,154357337,AAPL
152.575,153.1,150.78,151.73,69858306,AAPL
150.64,155.23,150.64,154.65,83322551,AAPL
153.88,154.58,151.168,151.92,64120079,AAPL
153.775,154.33,150.42,150.87,56007143,AAPL
149.46,151.3401,149.22,151.01,57450708,AAPL
150.952,154.26,150.92,153.85,62199013,AAPL
152.12,153.77,150.86,153.2,61707573,AAPL
153.11,155.5,152.88,155.33,65669252,AAPL
153.51,156.33,153.3475,153.71,68167942,AAPL
152.35,153.0,150.85,152.55,59144118,AAPL
150.2,151.3,148.405,148.48,58867230,AAPL
148.87,149.95,147.16,148.91,51011305,AAPL
150.09,150.34,147.24,149.4,48394249,AAPL
147.11,147.19,145.7202,146.71,55469606,AAPL
147.71,149.17,147.45,147.92,44998470,AAPL
147.05,149.08,146.83,147.41,50546998,AAPL
146.83,147.2285,145.01,145.31,55478991,AAPL
144.38,146.71,143.9,145.91,52279761,AAPL
148.045,151.11,147.33,151.03,70732297,AAPL
153.785,156.3,153.46,153.83,87558028,AAPL
153.7,154.0299,151.13,151.6,56182028,AAPL
152.81,153.47,151.83,152.87,47204791,AAPL
153.559,154.535,150.225,150.59,53833582,AAPL
150.21,150.94,147.6096,148.5,68572400,AAPL
147.805,153.14,147.7,150.47,84457122,AAPL
151.28,153.4,150.1,152.59,73695893,AAPL
151.19,153.245,149.92,152.99,77167866,AAPL
152.16,156.46,151.64,155.85,76254419,AAPL
156.08,156.74,154.28,155.0,98944633,AAPL
155.07,157.82,154.15,157.4,73641415,AAPL
157.32,159.4,156.54,159.28,73938285,AAPL
159.3,162.14,157.81,157.83,75701811,AAPL
158.83,161.5501,157.68,158.93,67622060,AAPL
158.86,160.34,157.85,160.25,59256343,AAPL
159.94,160.77,157.87,158.28,52390266,AAPL
157.97,158.49,155.98,157.65,45992152,AAPL
159.37,161.05,159.35,160.77,51305691,AAPL
161.53,162.47,161.271,162.36,49501689,AAPL
162.44,165.0,161.91,164.9,68749792,AAPL
164.27,166.29,164.22,166.17,56976187,AAPL
166.595,166.84,165.11,165.63,46278295,AAPL
164.74,165.05,161.8,163.76,51511744,AAPL
162.43,164.9584,162.0,164.66,45390123,AAPL
161.42,162.03,160.08,162.03,47716882,AAPL
162.35,162.36,160.51,160.8,47644217,AAPL
161.22,162.06,159.78,160.1,50133062,AAPL
161.63,165.8,161.42,165.56,68445649,AAPL
164.59,166.32,163.82,165.21,49386480,AAPL
165.09,165.39,164.03,165.23,40713618,AAPL
166.1,167.41,165.65,166.47,49923008,AAPL
165.8,168.16,165.54,167.63,47720166,AAPL
166.09,167.87,165.56,166.65,52456377,AAPL
165.05,166.4521,164.49,165.02,58337341,AAPL
165.0,165.6,163.89,165.33,41949581,AAPL
165.19,166.305,163.73,163.77,48714063,AAPL
163.055,165.28,162.8,163.76,44105745,AAPL
165.19,168.56,165.19,168.41,64902329,AAPL
168.49,169.85,167.8801,169.68,55275851,AAPL
169.28,170.45,168.64,169.59,52472936,AAPL
170.09,170.35,167.54,168.54,48425696,AAPL
169.5,170.92,167.16,167.45,65136018,AAPL
164.89,167.04,164.31,165.79,81235427,AAPL
170.975,174.3,170.76,173.57,113453171,AAPL
172.48,173.85,172.11,173.5,55962793,AAPL
173.05,173.54,171.6,171.77,45326874,AAPL
173.02,174.03,171.9,173.555,53724501,AAPL
173.85,174.59,172.17,173.75,49514676,AAPL
173.62,174.06,171.0,172.57,45533138,AAPL
173.16,173.21,171.47,172.07,37266659,AAPL
171.99,173.1383,171.7991,172.07,42110293,AAPL
171.71,172.925,170.4201,172.69,57951604,AAPL
