date,open,high,low,close,volume,symbol
2023-08-01,130.855,132.92,130.75,131.89,22219012,GOOG
2023-08-02,129.84,130.42,127.85,128.64,22705778,GOOG
2023-08-03,128.37,129.77,127.775,128.77,15086132,GOOG
2023-08-04,129.6,131.93,128.315,128.54,20521852,GOOG
2023-08-07,129.51,132.06,129.43,131.94,17621041,GOOG
2023-08-08,130.98,131.94,130.13,131.84,16835952,GOOG
2023-08-09,132.19,132.47,129.505,130.15,17745218,GOOG
2023-08-10,131.97,132.647,130.035,130.21,17855681,GOOG
2023-08-11,129.202,130.44,128.75,130.17,15205465,GOOG
2023-08-14,129.85,131.91,129.59,131.83,17526195,GOOG
2023-08-15,131.59,131.99,129.819,130.27,14769173,GOOG
2023-08-16,129.28,130.8975,128.46,129.11,17548355,GOOG
2023-08-17,130.45,132.4913,129.85,130.46,23665562,GOOG
2023-08-18,129.06,129.83,127.0,128.11,23627202,GOOG
2023-08-21,127.85,129.26,127.16,128.93,21851070,GOOG
2023-08-22,129.13,130.95,128.925,129.69,15569373,GOOG
2023-08-23,130.85,134.07,130.51,133.21,26497027,GOOG
2023-08-24,134.7272,134.97,130.3,130.42,18680381,GOOG
2023-08-25,130.14,131.4,128.04,130.69,20678096,GOOG
2023-08-28,132.08,133.24,130.85,131.79,16715467,GOOG
2023-08-29,132.9981,137.295,132.98,135.49,30803265,GOOG
2023-08-30,135.57,137.25,135.021,136.93,21773356,GOOG
2023-08-31,137.05,138.4,136.82,137.35,28147850,GOOG
2023-09-01,138.43,138.58,135.94,136.8,16671647,GOOG
2023-09-05,136.44,137.37,135.56,136.71,17730218,GOOG
2023-09-06,137.015,137.48,134.69,135.37,15814327,GOOG
2023-09-07,134.6,136.58,133.9601,136.2,16975956,GOOG
2023-09-08,135.87,137.515,135.87,137.2,17820005,GOOG
2023-09-11,137.38,138.2638,136.55,137.74,17180755,GOOG
2023-09-12,137.13,137.64,135.93,136.07,15212934,GOOG
2023-09-13,135.9,137.7,134.93,137.5,16394915,GOOG
2023-09-14,138.39,139.55,137.06,138.99,19064607,GOOG
2023-09-15,138.8,139.36,137.18,138.3,48958837,GOOG
2023-09-18,137.63,139.93,137.63,138.96,16233590,GOOG
2023-09-19,138.25,139.175,137.5,138.83,15484644,GOOG
2023-09-20,138.83,138.84,134.52,134.59,21473533,GOOG
