date,open,high,low,close,volume,symbol
2023-08-01,335.19,338.54,333.7,336.34,18381253,MSFT
2023-08-02,333.63,333.63,326.3551,327.5,27761257,MSFT
2023-08-03,326.0,329.88,325.95,326.66,18360352,MSFT
2023-08-04,331.88,335.14,327.24,327.78,23741484,MSFT
2023-08-07,328.37,331.11,327.52,330.11,17741526,MSFT
2023-08-08,326.96,328.75,323.0,326.05,22327574,MSFT
2023-08-09,326.47,327.11,321.0499,322.23,22373268,MSFT
2023-08-10,326.015,328.26,321.18,322.93,20113725,MSFT
2023-08-11,320.26,322.41,319.21,321.01,24355491,MSFT
2023-08-14,321.39,324.06,320.08,324.04,18836139,MSFT
2023-08-15,323.0,325.09,320.9034,321.86,16966285,MSFT
2023-08-16,320.8,324.42,319.8035,320.4,20698864,MSFT
2023-08-17,320.54,321.87,316.21,316.88,21257161,MSFT
2023-08-18,314.49,318.38,311.5508,316.48,24755012,MSFT
2023-08-21,317.93,322.77,317.04,321.88,24039956,MSFT
2023-08-22,325.5,326.075,321.46,322.46,16102024,MSFT
2023-08-23,323.82,329.2,323.46,327.0,21166382,MSFT
2023-08-24,332.85,332.98,319.96,319.97,23281434,MSFT
2023-08-25,321.47,325.36,318.8001,322.98,21684104,MSFT
2023-08-28,325.66,326.15,321.722,323.7,14808482,MSFT
2023-08-29,321.88,328.9835,321.88,328.41,19284590,MSFT
2023-08-30,328.67,329.81,326.445,328.79,15222110,MSFT
2023-08-31,329.2,330.9099,326.78,327.76,26410954,MSFT
2023-09-01,331.31,331.99,326.78,328.66,14942024,MSFT
2023-09-05,329.0,334.85,328.66,333.55,18553859,MSFT
2023-09-06,333.38,334.46,330.18,332.88,17535773,MSFT
2023-09-07,331.29,333.08,329.03,329.91,18380995,MSFT
2023-09-08,330.09,336.16,329.46,334.27,19548165,MSFT
2023-09-11,337.24,338.42,335.43,337.94,16583324,MSFT
2023-09-12,335.815,336.79,331.48,331.77,17565482,MSFT
2023-09-13,331.31,336.85,331.17,336.06,16544412,MSFT
2023-09-14,339.148,340.86,336.57,338.7,20267048,MSFT
2023-09-15,336.92,337.3975,329.65,330.22,37679792,MSFT
2023-09-18,327.8,330.4,326.36,329.06,16834208,MSFT
2023-09-19,326.17,329.39,324.51,328.65,16514487,MSFT
2023-09-20,329.51,329.59,320.51,320.77,21436525,MSFT
2023-09-21,319.26,325.3499,315.0,319.53,35560362,MSFT
2023-09-22,321.32,321.45,316.15,317.01,21447887,MSFT
2023-09-25,316.59,317.67,315.0,317.54,17835964,MSFT
2023-09-26,315.13,315.88,310.02,312.14,26297573,MSFT
2023-09-27,312.3,314.299,309.69,312.79,19410082,MSFT
2023-09-28,310.99,315.48,309.45,313.64,19683564,MSFT
2023-09-29,317.75,319.47,314.98,315.75,24147298,MSFT
2023-10-02,316.28,321.888,315.18,321.8,20570006,MSFT
2023-10-03,320.83,321.39,311.215,313.39,21033492,MSFT
2023-10-04,314.03,320.04,314.0,318.955,20720144,MSFT
2023-10-05,319.09,319.98,314.9,319.36,16965629,MSFT
2023-10-06,316.55,329.19,316.3,327.26,25673630,MSFT
2023-10-09,324.75,330.3,323.18,329.82,19891180,MSFT
2023-10-10,330.96,331.1,327.67,328.39,20557094,MSFT
2023-10-11,331.21,332.82,329.14,332.42,20063246,MSFT
2023-10-12,330.565,333.6299,328.72,331.16,19313098,MSFT
2023-10-13,332.38,333.83,326.36,327.73,21085695,MSFT
2023-10-16,331.05,336.14,330.6,332.64,22158048,MSFT
2023-10-17,329.59,333.46,327.41,332.06,18338523,MSFT
2023-10-18,332.49,335.59,328.3,330.11,23153602,MSFT
2023-10-19,332.15,336.88,330.91,331.32,25052071,MSFT
2023-10-20,331.72,331.92,325.45,326.67,25027715,MSFT
2023-10-23,325.47,332.725,324.39,329.32,24374748,MSFT
2023-10-24,331.3,331.84,327.6,330.53,31153571,MSFT
2023-10-25,345.02,346.2,337.62,340.67,55053828,MSFT
2023-10-26,340.54,341.63,326.94,327.89,37828543,MSFT
2023-10-27,330.425,336.72,328.4007,329.81,29856522,MSFT
2023-10-30,333.41,339.45,331.83,337.31,22828082,MSFT
2023-10-31,338.85,339.0,334.69,338.11,20265282,MSFT
2023-11-01,339.79,347.42,339.65,346.07,28158819,MSFT
2023-11-02,347.24,348.83,344.77,348.32,24348072,MSFT
2023-11-03,349.63,354.39,347.33,352.8,23637673,MSFT
2023-11-06,353.45,357.54,353.35,356.53,23828301,MSFT
2023-11-07,359.4,362.46,357.63,360.53,25833931,MSFT
2023-11-08,361.68,363.87,360.55,363.2,26767828,MSFT
2023-11-09,362.3,364.79,360.362,360.69,24847331,MSFT
2023-11-10,361.49,370.1,361.07,369.67,28065164,MSFT
2023-11-13,368.22,368.47,365.9,366.68,19986506,MSFT
2023-11-14,371.01,371.95,367.3454,370.27,27683862,MSFT
2023-11-15,371.28,373.13,367.11,369.67,26860095,MSFT
2023-11-16,370.96,376.35,370.18,376.17,27182315,MSFT
2023-11-17,373.61,374.37,367.0,369.85,40325371,MSFT
2023-11-20,371.22,378.87,371.0,377.44,52528964,MSFT
2023-11-21,375.67,376.2215,371.12,373.07,28423145,MSFT
2023-11-22,378.0,379.7899,374.965,377.85,23361184,MSFT
2023-11-24,377.33,377.97,375.135,377.43,10176649,MSFT
2023-11-27,376.78,380.64,376.2,378.61,22179228,MSFT
2023-11-28,378.35,383.0,378.16,382.7,20453112,MSFT
2023-11-29,383.76,384.3,377.44,378.85,28963399,MSFT
2023-11-30,378.49,380.09,375.47,378.91,30554415,MSFT
2023-12-01,376.76,378.16,371.31,374.51,33040472,MSFT
2023-12-04,369.1,369.52,362.9,369.14,32063305,MSFT
2023-12-05,366.45,373.075,365.621,372.52,23065035,MSFT
2023-12-06,373.54,374.18,368.03,368.8,21118348,MSFT
2023-12-07,368.23,371.4527,366.32,370.95,23118864,MSFT
2023-12-08,369.2,374.46,368.23,374.23,20154366,MSFT
2023-12-11,368.48,371.6,366.1,371.3,27708757,MSFT
2023-12-12,370.85,374.42,370.46,374.38,24838253,MSFT
2023-12-13,376.02,377.6361,370.77,374.37,30955531,MSFT
2023-12-14,373.31,373.76,364.13,365.93,43277461,MSFT
2023-12-15,366.85,372.4,366.28,370.73,78502324,MSFT
2023-12-18,369.45,373.0,368.68,372.65,21802878,MSFT
2023-12-19,371.49,373.26,369.84,373.26,20533284,MSFT
2023-12-20,375.0,376.03,370.53,370.62,26316650,MSFT
2023-12-21,372.56,374.41,370.04,373.54,17708006,MSFT
2023-12-22,373.68,375.18,372.71,374.58,17107484,MSFT
2023-12-26,375.0,376.94,373.5,374.66,12673050,MSFT
2023-12-27,373.69,375.06,372.8116,374.07,14872756,MSFT
