open,high,low,close,volume,symbol
230.48,230.54,230.42,230.482,1193,AAPL
230.498,230.537,230.42,230.423,356,AAPL
230.42,230.5,230.41,230.422,1129,AAPL
230.49,230.49,230.412,230.421,189,AAPL
230.42,230.49,230.412,230.49,267,AAPL
230.478,230.479,230.41,230.412,232,AAPL
230.382,230.48,230.38,230.402,2465,AAPL
230.42,230.44,230.381,230.382,1027,AAPL
230.43,230.43,230.38,230.38,295,AAPL
230.44,230.44,230.401,230.42,75,AAPL
230.402,230.478,230.4,230.401,274,AAPL
230.43,230.47,230.402,230.402,2206,AAPL
230.401,230.468,230.401,230.468,524,AAPL
230.401,230.449,230.4,230.449,236,AAPL
230.45,230.45,230.401,230.401,56,AAPL
230.41,230.45,230.37,230.401,204,AAPL
230.41,230.448,230.37,230.372,124,AAPL
230.43,230.43,230.27,230.372,419,AAPL
230.274,230.43,230.274,230.274,196,AAPL
230.343,230.426,230.27,230.426,21,AAPL
230.27,230.45,230.27,230.447,636,AAPL
230.39,230.43,230.27,230.274,322,AAPL
230.399,230.448,230.284,230.284,901,AAPL
230.353,230.45,230.35,230.351,33,AAPL
230.272,230.47,230.272,230.352,604,AAPL
230.272,230.35,230.272,230.272,62,AAPL
230.31,230.35,230.272,230.272,74,AAPL
230.31,230.35,230.27,230.35,2393,AAPL
230.299,230.35,230.27,230.3,312,AAPL
230.251,230.3,230.25,230.3,617,AAPL
230.27,230.3,230.24,230.251,199,AAPL
230.24,230.3,230.24,230.298,1078,AAPL
230.24,230.25,230.23,230.24,76,AAPL
230.231,230.25,230.23,230.23,90,AAPL
230.231,230.25,230.23,230.23,135,AAPL
230.231,230.25,230.23,230.249,65,AAPL
230.249,230.25,230.201,230.23,364,AAPL
230.23,230.25,230.201,230.201,1006,AAPL
230.201,230.23,230.2,230.201,836,AAPL
230.225,230.25,230.201,230.201,27,AAPL
230.201,230.249,230.2,230.201,37,AAPL
230.215,230.23,230.2,230.201,417,AAPL
230.23,230.23,230.2,230.2,694,AAPL
230.215,230.23,230.2,230.201,84,AAPL
230.201,230.23,230.2,230.201,92,AAPL
230.201,230.23,230.2,230.201,100,AAPL
230.201,230.23,230.2,230.23,178,AAPL
230.211,230.23,230.2,230.201,565,AAPL
230.201,230.23,230.2,230.22,29,AAPL
230.201,230.23,230.2,230.23,281,AAPL
230.22,230.23,230.2,230.201,198,AAPL
230.201,230.249,230.2,230.201,116,AAPL
230.201,230.249,230.2,230.201,346,AAPL
230.201,230.25,230.2,230.201,354,AAPL
230.201,230.249,230.201,230.201,59,AAPL
230.201,230.249,230.2,230.201,38,AAPL
230.201,230.25,230.2,230.201,164,AAPL
230.201,230.249,230.201,230.201,24,AAPL
230.201,230.25,230.2,230.201,432,AAPL
230.201,230.25,230.2,230.201,578,AAPL
230.201,230.25,230.2,230.201,2119,AAPL
230.201,230.249,230.201,230.201,26,AAPL
230.192,230.249,230.19,230.201,542,AAPL
230.192,230.25,230.19,230.191,162,AAPL
230.192,230.25,230.191,230.191,33,AAPL
230.192,230.25,230.19,230.191,90,AAPL
230.221,230.25,230.191,230.191,257,AAPL
230.221,230.25,230.22,230.221,264,AAPL
230.211,230.249,230.21,230.221,622,AAPL
230.192,230.25,230.191,230.23,114,AAPL
230.192,230.25,230.19,230.191,91,AAPL
230.25,230.26,230.19,230.191,33,AAPL
230.249,230.25,230.19,230.191,27,AAPL
230.192,230.25,230.191,230.191,36,AAPL
230.192,230.249,230.19,230.191,91,AAPL
230.192,230.25,230.19,230.191,82,AAPL
230.22,230.249,230.19,230.191,43,AAPL
230.22,230.25,230.19,230.191,84,AAPL
230.192,230.25,230.19,230.248,82,AAPL
230.22,230.25,230.19,230.21,185,AAPL
230.2,230.249,230.19,230.191,126,AAPL
230.22,230.249,230.19,230.191,58,AAPL
230.192,230.25,230.19,230.191,103,AAPL
230.225,230.249,230.191,230.191,864,AAPL
230.201,230.249,230.2,230.23,95,AAPL
230.201,230.25,230.2,230.201,157,AAPL
230.192,230.249,230.191,230.201,31,AAPL
230.192,230.249,230.19,230.191,47,AAPL
230.23,230.25,230.19,230.22,64,AAPL
230.192,230.25,230.19,230.191,30,AAPL
230.25,230.279,230.191,230.191,768,AAPL
230.241,230.28,230.24,230.26,70,AAPL
230.241,230.279,230.24,230.241,154,AAPL
230.26,230.28,230.24,230.241,116,AAPL
230.241,230.279,230.24,230.279,276,AAPL
230.241,230.279,230.241,230.241,24,AAPL
230.192,230.278,230.19,230.241,52,AAPL
230.192,230.278,230.19,230.192,1278,AAPL
230.192,230.268,230.19,230.192,55,AAPL
230.192,230.27,230.192,230.192,168,AAPL
