open,high,low,close,volume,symbol
228.301,228.49,228.301,228.382,2500,AAPL
228.33,228.35,228.3,228.301,1412,AAPL
228.28,228.327,228.24,228.3,1791,AAPL
228.251,228.29,228.241,228.241,2103,AAPL
228.25,228.28,228.24,228.265,528,AAPL
228.188,228.273,228.151,228.25,3843,AAPL
228.2,228.2,228.15,228.19,2907,AAPL
228.19,228.24,228.19,228.19,1549,AAPL
228.21,228.25,228.162,228.19,1307,AAPL
228.153,228.27,228.153,228.182,1151,AAPL
228.15,228.26,228.15,228.201,1433,AAPL
228.18,228.27,228.13,228.16,1139,AAPL
228.141,228.19,228.14,228.16,70,AAPL
228.15,228.257,228.132,228.155,1185,AAPL
228.201,228.23,228.15,228.175,1222,AAPL
228.238,228.24,228.152,228.201,140,AAPL
228.2,228.28,228.133,228.181,2648,AAPL
228.28,228.28,228.153,228.2,2539,AAPL
228.265,228.28,228.25,228.251,1325,AAPL
228.201,228.279,228.201,228.251,1128,AAPL
228.26,228.26,228.2,228.239,701,AAPL
228.201,228.26,228.2,228.201,340,AAPL
228.211,228.278,228.2,228.201,104,AAPL
228.205,228.26,228.153,228.212,508,AAPL
228.22,228.27,228.14,228.14,1583,AAPL
228.278,228.28,228.2,228.22,1120,AAPL
228.225,228.28,228.153,228.24,187,AAPL
228.198,228.25,228.14,228.153,5848,AAPL
228.19,228.2,228.14,228.17,166,AAPL
228.15,228.2,228.13,228.141,534,AAPL
228.132,228.19,228.13,228.131,2390,AAPL
228.131,228.18,228.13,228.131,64,AAPL
228.13,228.179,228.13,228.131,528,AAPL
228.178,228.178,228.102,228.131,411,AAPL
228.14,228.178,228.1,228.102,117,AAPL
228.102,228.18,228.102,228.102,351,AAPL
228.063,228.19,228.063,228.102,516,AAPL
228.178,228.19,228.063,228.19,906,AAPL
228.102,228.19,228.102,228.102,240,AAPL
228.102,228.19,228.1,228.102,70,AAPL
228.078,228.19,228.022,228.102,3763,AAPL
228.002,228.08,228.002,228.05,125,AAPL
228.002,228.08,228.0,228.08,1668,AAPL
228.002,228.08,228.0,228.04,531,AAPL
227.82,228.08,227.82,228.078,610,AAPL
227.963,228.088,227.96,228.0,180,AAPL
228.02,228.09,227.96,227.963,30,AAPL
227.98,228.087,227.95,228.025,524,AAPL
227.96,228.09,227.934,228.077,132,AAPL
228.06,228.087,227.92,228.087,1955,AAPL
228.022,228.1,227.87,227.915,1401,AAPL
228.0,228.13,228.0,228.1,297,AAPL
227.995,228.13,227.876,228.01,2998,AAPL
227.98,228.12,227.876,228.07,13555,AAPL
227.871,227.98,227.871,227.892,3602,AAPL
227.881,227.92,227.87,227.871,538,AAPL
227.871,227.92,227.871,227.919,223,AAPL
227.895,227.92,227.87,227.871,314,AAPL
227.871,227.92,227.87,227.9,34,AAPL
227.861,227.92,227.862,227.861,116,AAPL
227.861,227.92,227.86,227.861,28,AAPL
227.861,227.92,227.86,227.861,156,AAPL
227.881,227.92,227.86,227.861,504,AAPL
227.861,227.919,227.862,227.881,20,AAPL
227.92,227.92,227.862,227.861,225,AAPL
227.9,227.92,227.871,227.89,516,AAPL
227.92,227.92,227.87,227.9,59,AAPL
227.87,227.92,227.87,227.919,356,AAPL
227.88,227.92,227.87,227.871,168,AAPL
227.88,227.92,227.86,227.895,133,AAPL
227.871,227.92,227.86,227.89,169,AAPL
227.871,227.92,227.87,227.919,1877,AAPL
227.861,227.92,227.86,227.871,203,AAPL
227.851,227.92,227.85,227.861,221,AAPL
227.875,227.9,227.85,227.851,128,AAPL
227.84,227.92,227.84,227.851,347,AAPL
227.949,227.949,227.81,227.88,1334,AAPL
227.92,227.95,227.892,227.925,154,AAPL
227.968,227.97,227.89,227.891,564,AAPL
227.968,227.97,227.9,227.96,186,AAPL
227.91,227.98,227.9,227.9,64,AAPL
227.9,227.98,227.9,227.978,64,AAPL
227.902,227.98,227.9,227.93,67,AAPL
227.97,227.97,227.9,227.902,50,AAPL
227.922,227.978,227.89,227.902,35,AAPL
227.93,227.978,227.892,227.892,25,AAPL
227.88,227.98,227.873,227.882,99,AAPL
227.9,227.98,227.87,227.87,260,AAPL
227.93,227.98,227.873,227.882,782,AAPL
227.872,227.98,227.87,227.978,526,AAPL
227.93,227.977,227.87,227.97,273,AAPL
227.977,227.98,227.87,227.873,318,AAPL
227.95,227.98,227.87,227.873,1407,AAPL
227.95,227.969,227.95,227.969,449,AAPL
227.931,227.98,227.93,227.95,569,AAPL
227.931,227.98,227.931,227.931,121,AAPL
227.98,227.98,227.93,227.931,943,AAPL
227.965,227.98,227.931,227.941,148,AAPL
227.96,227.98,227.95,227.965,658,AAPL
227.965,227.98,227.95,227.951,821,AAPL
