open,high,low,close,volume,symbol
186.92,188.69,186.14,186.78,14449113,GOOG
191.34,192.41,186.82,187.3,16451981,GOOG
190.75,193.31,190.62,192.66,12052906,GOOG
191.75,192.86,190.23,190.44,10224925,GOOG
191.365,191.6791,189.32,190.48,12097611,GOOG
187.32,192.26,187.32,191.96,14303361,GOOG
186.3,187.62,185.385,187.39,7409106,GOOG
183.47,186.95,183.06,186.61,12555545,GOOG
184.48,185.34,182.73,184.49,11815862,GOOG
185.72,186.58,183.325,183.42,23032362,GOOG
185.645,187.5,185.45,186.86,13025656,GOOG
184.2,185.93,183.99,185.37,13375715,GOOG
181.145,185.75,181.105,185.58,18917734,GOOG
181.28,182.08,180.23,180.79,18198282,GOOG
178.49,182.5117,178.06,180.26,59728019,GOOG
176.71,178.74,176.46,177.71,16753166,GOOG
178.79,178.91,175.62,176.45,15640257,GOOG
176.98,179.92,176.49,178.78,15272864,GOOG
175.852,178.73,175.852,178.37,12361571,GOOG
177.84,178.51,176.66,176.74,15956941,GOOG
179.75,182.08,177.78,179.56,18600421,GOOG
177.72,178.39,175.44,178.19,14402401,GOOG
176.45,178.47,174.38,176.63,17122247,GOOG
178.46,179.42,175.79,175.95,14716270,GOOG
177.43,178.71,177.21,178.35,14255818,GOOG
176.535,177.97,175.29,177.07,15233861,GOOG
174.45,175.19,173.22,175.13,14066602,GOOG
173.88,175.86,172.45,174.42,20742798,GOOG
173.4,174.42,170.97,173.96,28085151,GOOG
176.69,176.69,173.23,173.56,18844036,GOOG
176.81,178.23,176.26,177.4,15023847,GOOG
175.74,178.51,175.68,178.02,15655340,GOOG
176.52,177.3044,175.2,176.33,11403560,GOOG
178.78,179.91,174.54,175.06,14928363,GOOG
178.4,178.852,176.7801,178.0,16189404,GOOG
178.4,179.82,177.31,179.54,14706021,GOOG
177.31,179.95,177.225,178.46,17495122,GOOG
175.55,177.495,174.98,177.29,16546353,GOOG
174.6,176.34,174.05,175.43,17247311,GOOG
172.3,174.0459,172.03,173.88,20958245,GOOG
171.59,172.78,170.42,171.93,18729463,GOOG
165.847,170.95,165.76,170.9,19648585,GOOG
169.69,171.34,167.91,170.29,18740458,GOOG
171.15,172.44,169.93,171.58,11937704,GOOG
170.75,171.9092,170.522,171.16,14569858,GOOG
170.12,173.47,170.0,172.98,21102434,GOOG
169.22,169.9,167.89,169.83,15147906,GOOG
169.54,169.85,164.98,168.99,22767056,GOOG
166.67,168.53,165.69,168.46,17041119,GOOG
166.18,168.81,164.9,165.57,25223245,GOOG
167.38,169.87,164.5,164.64,29420755,GOOG
170.77,171.38,167.06,167.9,35914561,GOOG
175.99,176.42,171.4,173.69,56500787,GOOG
153.36,158.28,152.768,157.95,36197789,GOOG
159.09,161.39,158.82,161.1,19485694,GOOG
158.59,160.48,157.965,159.92,16115408,GOOG
156.01,159.185,155.66,157.95,17243870,GOOG
157.75,157.99,153.91,155.72,21479881,GOOG
156.925,158.485,156.21,157.46,14016065,GOOG
157.19,158.681,156.135,156.88,16237752,GOOG
155.64,157.23,155.05,156.0,15413201,GOOG
160.28,160.83,156.15,156.33,21140948,GOOG
159.405,161.7,158.6,159.19,16989765,GOOG
158.34,161.1199,157.93,160.79,17841703,GOOG
157.88,158.16,156.2,157.66,16339174,GOOG
157.35,159.89,156.64,158.14,21435146,GOOG
154.015,156.655,153.99,156.14,16280924,GOOG
151.68,154.84,151.081,153.94,16212049,GOOG
155.08,156.18,151.88,151.94,23901697,GOOG
154.92,156.55,154.1321,156.37,16984168,GOOG
154.75,155.99,153.46,155.87,17549140,GOOG
151.83,157.0,151.65,156.5,24416137,GOOG
152.0,152.67,151.33,152.26,21105628,GOOG
152.145,152.69,150.13,151.94,16621964,GOOG
151.24,153.2,151.03,151.7,19312694,GOOG
150.95,151.456,148.8,151.15,15114728,GOOG
150.24,152.56,150.09,151.77,19252925,GOOG
150.32,151.305,148.0101,148.74,19843915,GOOG
148.79,149.76,147.665,149.68,17729996,GOOG
148.98,149.62,147.01,147.92,17748367,GOOG
149.37,152.93,148.14,148.48,47676689,GOOG
143.41,144.34,141.1301,142.17,41039494,GOOG
142.3,144.73,141.485,144.34,35991108,GOOG
140.06,142.19,140.01,140.77,19589151,GOOG
138.25,140.28,138.21,139.62,18951920,GOOG
137.07,139.98,137.07,138.94,22462576,GOOG
135.035,138.985,134.8,136.29,26495160,GOOG
133.89,135.82,132.66,135.24,24107282,GOOG
134.24,134.74,131.95,132.56,23175200,GOOG
132.74,134.02,131.55,133.78,28447550,GOOG
136.54,136.63,132.86,134.2,43571510,GOOG
139.61,140.0,137.975,138.08,28551525,GOOG
138.35,139.95,137.57,139.78,35485006,GOOG
139.1,139.28,136.64,137.43,30628702,GOOG
139.41,140.49,138.5,140.1,22363981,GOOG
143.45,143.84,138.74,138.75,33513011,GOOG
144.97,145.955,144.79,145.29,14519434,GOOG
146.12,146.2,144.01,145.32,23024707,GOOG
142.64,143.98,141.91,143.84,16499584,GOOG
140.94,143.3285,140.8,142.2,18625589,GOOG
144.21,144.48,141.52,141.76,21865118,GOOG
144.46,144.76,141.88,143.94,26724305,GOOG
147.37,147.83,145.555,147.14,16651824,GOOG
146.07,148.04,145.11,146.37,18138482,GOOG
149.54,150.59,148.56,148.73,17236108,GOOG
147.95,150.695,147.43,150.22,21877693,GOOG
146.97,147.61,146.42,147.22,18241319,GOOG
146.12,147.0,145.2103,146.68,21436126,GOOG
145.96,146.74,144.52,145.41,21517655,GOOG
144.04,146.67,143.91,144.93,29254444,GOOG
140.89,143.88,138.17,143.54,42136127,GOOG
143.69,144.62,142.26,142.71,25526855,GOOG
145.39,145.59,141.55,141.8,43908584,GOOG
154.01,155.04,152.775,153.05,26578934,GOOG
153.64,155.2,152.92,154.84,20909258,GOOG
152.87,154.11,152.8,153.79,19494488,GOOG
151.74,154.76,151.22,153.64,21495120,GOOG
150.29,151.57,149.84,150.35,18892741,GOOG
147.72,148.86,147.19,148.68,14113649,GOOG
148.71,150.015,147.58,147.71,21829232,GOOG
