open,high,low,close,volume,symbol
67.81,69.63,67.81,68.74,8697485,sq
65.41,67.06,65.11,66.49,7319041,sq
64.76,64.76,62.83,64.34,4838050,sq
64.48,65.35,63.83,64.51,3631931,sq
65.92,66.74,63.93,64.23,6166072,sq
64.18,65.79,63.99,65.78,5390084,sq
64.41,65.18,63.925,64.44,2837236,sq
63.98,65.38,63.77,64.58,4402300,sq
64.62,64.95,62.8145,63.84,5278345,sq
63.58,64.6,63.13,64.49,6802597,sq
63.2,64.11,62.64,63.39,4332258,sq
63.58,63.78,62.62,63.29,3645378,sq
64.2,64.9,63.47,64.02,6953538,sq
64.12,65.35,63.8,64.4,7607782,sq
62.27,62.97,61.77,62.97,7967153,sq
61.5,63.335,61.19,62.74,7487166,sq
62.36,63.17,61.78,61.9,7176711,sq
61.73,62.66,60.9,62.5,5906860,sq
61.81,62.33,61.37,62.15,4916673,sq
65.075,65.85,62.21,62.36,7080163,sq
66.0,67.2,64.3,64.63,7049752,sq
64.0,64.5,62.945,64.16,5250569,sq
64.27,64.94,63.52,64.34,9067059,sq
65.9,66.57,65.08,65.1,6602293,sq
64.8,66.9563,64.64,66.4,9206616,sq
65.22,65.62,63.89,64.8,7811844,sq
64.08,65.3199,63.88,64.25,8256836,sq
64.1,64.775,63.7,64.3,6473079,sq
64.87,65.2,62.46,64.08,10928661,sq
65.51,66.23,64.6,65.02,6194312,sq
64.98,66.19,64.25,65.56,7605617,sq
66.47,66.76,64.83,66.08,7708522,sq
66.73,67.13,65.82,66.34,6857107,sq
67.8,68.12,65.77,66.62,6723740,sq
70.86,71.0,67.015,67.34,12737542,sq
73.0,73.3,70.5,71.51,9187502,sq
72.41,73.65,71.61,73.54,6162180,sq
71.82,73.43,71.27,72.26,5967045,sq
71.24,72.18,70.87,71.75,6911935,sq
72.42,73.7,71.365,71.52,5369531,sq
70.2,71.98,70.2,71.2,5988354,sq
71.84,72.2485,69.57,69.74,7261545,sq
73.66,73.9994,70.72,71.31,5714214,sq
71.44,73.31,70.7157,73.2,4862356,sq
70.59,72.05,70.535,71.14,5927585,sq
73.11,73.6,71.4,71.6,6609829,sq
70.24,73.55,70.11,73.53,11675491,sq
76.49,76.5,68.98,69.47,28948341,sq
68.4,70.55,67.17,70.3,17693828,sq
67.91,69.5,65.69,66.84,22168510,sq
75.01,75.23,72.61,73.0,6864781,sq
74.58,76.3,74.28,75.31,6131233,sq
74.0,75.89,73.56,74.48,4649162,sq
71.5,73.3,71.03,72.79,5296451,sq
75.57,76.15,73.52,74.03,5831443,sq
71.87,75.28,71.6575,75.21,9937253,sq
71.19,72.36,69.81,71.6,6090200,sq
70.91,72.5399,69.81,70.42,7071572,sq
73.5,74.0902,71.65,72.06,6556707,sq
73.57,74.525,71.89,73.51,5921785,sq
72.37,74.19,72.12,73.14,5643623,sq
77.54,78.0,73.4,73.5,7972266,sq
78.845,79.0,76.01,76.99,6190596,sq
79.4,80.095,77.63,80.06,4242849,sq
77.7,79.1,77.36,78.51,4959411,sq
78.3,80.0,77.99,79.98,5457290,sq
77.94,78.74,77.5,78.35,4687615,sq
72.9,77.33,72.77,77.17,8897863,sq
79.0,80.56,74.67,74.73,13859038,sq
78.41,80.3071,77.81,79.65,5098007,sq
79.57,79.69,77.18,79.21,7546858,sq
84.915,84.915,81.045,81.46,6995896,sq
83.795,84.92,83.2,84.58,5816809,sq
84.94,85.6699,82.24,83.18,5742321,sq
83.65,85.8,83.505,83.8,8171729,sq
80.61,83.535,80.58,82.62,6631894,sq
83.02,84.0473,80.75,80.77,6375621,sq
82.41,85.0,82.3404,84.05,10383651,sq
78.71,81.82,78.21,81.46,6652560,sq
79.74,80.46,78.0,79.32,6112526,sq
80.31,81.53,79.31,80.86,6175226,sq
80.56,82.09,79.94,80.17,8467078,sq
85.74,86.1671,80.1604,81.24,11117894,sq
81.34,87.52,81.2,85.72,15055138,sq
82.955,83.02,79.29,81.71,8432137,sq
81.5,83.83,80.842,81.53,10277288,sq
77.95,81.85,77.5,80.74,12875655,sq
76.82,77.79,75.67,77.22,6906612,sq
75.67,77.135,75.1869,75.53,7376783,sq
76.1,76.55,73.77,74.43,7204447,sq
79.42,79.67,76.89,77.0,8523301,sq
79.79,80.63,78.11,79.25,9376886,sq
79.5,80.96,78.54,79.47,12228242,sq
77.01,79.93,76.7,78.42,12752694,sq
75.95,77.96,75.3401,77.71,14699152,sq
77.52,77.78,74.56,74.66,23003243,sq
79.81,83.29,78.47,78.92,53427594,sq
65.78,68.44,65.6501,67.96,23963910,sq
64.425,65.0,63.6289,64.47,8838777,sq
