number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,inf,2024-07-21 05:41:24.213870,2024-07-21 05:41:49.365719,0 days 00:00:25.151849,10,131,COMPLETE
1,inf,2024-07-21 05:41:24.218385,2024-07-21 05:42:00.177791,0 days 00:00:35.959406,16,143,COMPLETE
2,inf,2024-07-21 05:41:24.221402,2024-07-21 05:41:49.995209,0 days 00:00:25.773807,14,115,COMPLETE
3,inf,2024-07-21 05:41:24.226405,2024-07-21 05:41:50.663688,0 days 00:00:26.437283,15,152,COMPLETE
4,inf,2024-07-21 05:41:24.230931,2024-07-21 05:41:50.174753,0 days 00:00:25.943822,10,187,COMPLETE
5,96.48327878208579,2024-07-21 05:41:24.242364,2024-07-21 05:41:48.982542,0 days 00:00:24.740178,11,139,COMPLETE
6,inf,2024-07-21 05:41:24.259619,2024-07-21 05:41:49.158911,0 days 00:00:24.899292,12,110,COMPLETE
7,inf,2024-07-21 05:41:24.319071,2024-07-21 05:41:50.144621,0 days 00:00:25.825550,12,134,COMPLETE
8,inf,2024-07-21 05:41:48.988229,2024-07-21 05:42:17.824352,0 days 00:00:28.836123,14,129,COMPLETE
9,inf,2024-07-21 05:41:49.179745,2024-07-21 05:42:24.015128,0 days 00:00:34.835383,20,156,COMPLETE
10,inf,2024-07-21 05:41:49.371246,2024-07-21 05:42:19.980161,0 days 00:00:30.608915,14,133,COMPLETE
11,inf,2024-07-21 05:41:50.000731,2024-07-21 05:42:25.302994,0 days 00:00:35.302263,15,161,COMPLETE
12,inf,2024-07-21 05:41:50.148132,2024-07-21 05:42:17.246474,0 days 00:00:27.098342,15,122,COMPLETE
13,inf,2024-07-21 05:41:50.272827,2024-07-21 05:42:23.752429,0 days 00:00:33.479602,17,142,COMPLETE
14,inf,2024-07-21 05:41:50.671369,2024-07-21 05:42:35.830585,0 days 00:00:45.159216,20,198,COMPLETE
15,inf,2024-07-21 05:42:00.181801,2024-07-21 05:42:31.887377,0 days 00:00:31.705576,16,132,COMPLETE
16,inf,2024-07-21 05:42:17.249992,2024-07-21 05:42:48.515590,0 days 00:00:31.265598,20,130,COMPLETE
17,inf,2024-07-21 05:42:17.894846,2024-07-21 05:42:59.467632,0 days 00:00:41.572786,18,166,COMPLETE
18,inf,2024-07-21 05:42:19.998208,2024-07-21 05:43:01.888076,0 days 00:00:41.889868,20,162,COMPLETE
19,inf,2024-07-21 05:42:23.768473,2024-07-21 05:43:06.968901,0 days 00:00:43.200428,20,164,COMPLETE
20,inf,2024-07-21 05:42:24.018643,2024-07-21 05:42:58.268434,0 days 00:00:34.249791,10,170,COMPLETE
